0 8 576 9 600
1 62 644192 465 18984
2 15 1051 14 1135
3 98 10834 84 206958
4 56 6847 61 42324
5 24 3941 27 6573
6 0 0 0 0
7 0 0 0 0
8 0 0 0 0
9 0 0 0 0
10 4 191 4 160
11 2 80 2 80
12 6 1554 5 345
13 28 1930 28 150484
14 2 119 2 119
15 6 357 6 357
16 19 2355 19 1657
17 102 655520 523 224825
18 31 4126 35 3614
19 4 238 4 238
20 4 191 5 231
21 1 40 1 40
22 6 363 7 372
23 2 119 2 119
24 0 0 0 0
25 0 0 0 0
26 0 0 0 0
27 0 0 0 0
28 0 0 0 0
29 0 0 0 0
30 1 40 1 40
31 1 40 1 40
32 4 416 5 440
33 56 659360 484 19744
34 4 256 4 400
35 0 0 0 0
36 2 119 2 119
37 0 0 0 0
38 0 0 0 0
39 0 0 0 0
40 1 40 1 40
41 1 40 1 40
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 71 667976 474 19264
47 9 456 9 984
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 2 80 2 80
52 0 0 0 0
53 3 280 3 184
54 58 674992 493 20216
55 5 296 5 568
56 0 0 0 0
57 0 0 0 0
58 0 0 0 0
59 0 0 0 0
60 0 0 0 0
61 1 40 1 40
62 71 10262 73 20557
63 69 23762 74 21086
64 15 1983 15 1357
65 40 10783 42 144888
66 0 0 0 0
67 35 15192 41 81147
68 22 5858 21 13835
69 3 151 4 638
70 69 14152 63 38810
71 118 696887 563 37541
72 46 27403 56 10847
73 19 895 19 26696
74 9 508 10 1207
75 6 279 6 279
76 12 714 12 714
77 8 476 8 476
78 33 12602 37 16428
79 29 23793 38 9557
80 96 65579 135 105997
81 65 44596 88 110551
82 49 29861 60 36100
83 50 29543 60 26027
84 28 9842 34 19771
85 0 0 0 0
86 93 702515 530 35786
87 12 653 14 1215
88 8 1549 6 916
89 17 2267 19 5903
90 51 33546 67 41030
91 15 726 19 2701
92 2 80 2 80
93 2 80 2 128
94 1 40 1 40
95 2 119 2 119
96 2 80 2 80
97 0 0 0 0
98 4 223 5 224
99 19 165496 116 4944
100 46 533264 403 16568
101 7 280 7 456
102 1 40 1 40
103 47 5769 54 65672
104 67 3421 90 759947
105 5 456 5 376
106 71 707862 537 34362
107 17 1015 17 7084
108 0 0 0 0
109 0 0 0 0
110 0 0 0 0
111 7 280 7 280
112 0 0 0 0
113 4 160 4 208
114 7 2767 8 1088
115 53 713656 525 21304
116 8 416 8 768
117 3 120 3 296
118 0 0 0 0
119 0 0 0 0
120 0 0 0 0
121 11 603 11 603
122 8 398 8 398
123 2 80 2 80
124 2 80 2 80
125 5 263 5 200
126 0 0 0 0
127 31 3140 31 2262
128 4 223 4 160
129 12 888 12 1759
130 45 22250 54 19206
131 26 22612 36 30209
132 23 5938 25 8810
133 26 21263 34 7741
134 93 747020 566 39082
135 36 6163 40 12051
136 0 0 0 0
137 41 28756 54 35961
138 16 17454 24 10845
139 33 24506 45 25214
140 9 4648 11 8635
141 1 40 1 40
142 8 359 8 359
143 36 6994 39 7243
144 10 463 11 521
145 59 729352 537 21784
146 10 496 10 1024
147 0 0 0 0
148 8 475 8 412
149 2 126 2 126
150 18 3723 19 8090
151 56 6228 59 32873
152 8 320 8 704
153 2 80 2 80
154 3 120 3 120
155 2 80 2 80
156 0 0 0 0
157 0 0 0 0
158 0 0 0 0
159 0 0 0 0
160 1 40 1 40
161 0 0 0 0
162 3 120 3 120
163 6 240 6 240
