0 1 40 0 0
1 0 0 0 0
2 0 0 0 0
3 0 0 0 0
4 0 0 0 0
5 0 0 0 0
6 0 0 0 0
7 0 0 0 0
8 0 0 0 0
9 0 0 0 0
10 0 0 0 0
11 0 0 0 0
12 0 0 0 0
13 0 0 0 0
14 3 280 3 184
15 166 2441072 1781 71672
16 60 579936 440 19072
17 4 256 4 400
18 0 0 0 0
19 0 0 0 0
20 30 3613 28 3360
21 0 0 0 0
22 35 5049 33 16254
23 14 1954 13 8946
24 58 5637 57 8457
25 14 1938 13 1848
26 0 0 0 0
27 154 2014336 1474 59392
28 19 856 19 1960
29 3 144 3 120
30 1 40 1 40
31 22 2673 21 5494
32 35 3921 30 45615
33 142 18605 162 314004
34 84 7911 109 433825
35 49 7232 47 15990
36 40 5873 38 32092
37 78 9455 79 317797
38 14 1231 16 3933
39 4 222 6 240
40 8 611 8 27310
41 26 30005 41 3935
42 286 2701650 2016 314422
43 207 2642267 1938 82623
44 111 721571 580 142027
45 48 3314 49 206267
46 0 0 0 0
47 8 413 11 440
48 0 0 0 0
49 0 0 0 0
50 4 222 6 240
51 2 80 2 80
52 0 0 0 0
53 2 80 2 80
54 0 0 0 0
55 2 80 2 80
56 2 80 2 80
57 2 80 2 80
58 0 0 0 0
59 0 0 0 0
60 0 0 0 0
61 2 80 2 80
62 161 2111992 1526 61344
63 80 907920 657 26792
64 74 1008720 737 30312
65 17 776 18 1856
66 4 160 3 120
67 2 80 2 80
68 0 0 0 0
69 0 0 0 0
70 0 0 0 0
71 2 80 2 80
72 0 0 0 0
73 2 80 2 80
74 0 0 0 0
75 0 0 0 0
76 4 160 4 160
77 2 80 2 80
78 3 280 3 184
79 188 2326816 1671 67208
80 135 1504043 1107 46846
81 107 1616184 1174 47856
82 135 1962751 1425 58127
83 111 1616344 1167 47576
84 20 39008 46 2928
85 5 296 5 504
86 4 160 4 160
87 0 0 0 0
88 2 80 2 80
89 0 0 0 0
90 2 80 2 80
91 2 119 2 119
92 0 0 0 0
93 2 119 2 119
94 2 80 2 80
95 0 0 0 0
96 4 199 4 199
97 2 80 2 80
98 23 2961 23 15848
99 94 13792 98 205546
100 18 2207 19 1772
101 36 4747 39 8731
102 0 0 0 0
103 155 2210520 1616 65008
104 113 1501443 1109 45192
105 153 2078568 1512 61632
106 155 2193784 1595 65016
107 82 1077712 788 32480
108 17 776 18 1728
109 1 40 0 0
110 0 0 0 0
111 2 80 2 80
112 0 0 0 0
113 0 0 0 0
114 2 80 2 80
115 0 0 0 0
116 0 0 0 0
117 4 160 4 160
118 2 80 2 80
119 0 0 0 0
120 0 0 0 0
121 2 80 2 80
122 0 0 0 0
123 0 0 0 0
124 2 80 2 80
125 0 0 0 0
126 0 0 0 0
127 36 4370 40 27962
128 284 2448858 1789 82445
129 137 1733132 1255 51333
130 132 1732320 1249 50920
131 115 1389922 999 51954
132 145 1785382 1309 61248
133 35 2256 34 52059
134 1 40 1 40
135 1 40 1 40
136 0 0 0 0
137 5 224 5 200
138 5 224 5 200
139 2 80 2 80
140 2 80 2 80
141 3 159 3 159
142 2 80 2 80
