0 3 144 3 120
1 0 0 0 0
2 22 2887 22 10938
3 5 829 7 16440
4 11 1802 9 1985
5 2 80 2 80
6 0 0 0 0
7 0 0 0 0
8 0 0 0 0
9 2 133 3 120
10 3 164 2 84
11 7 1304 11 1961
12 5 376 6 1248
13 2 80 2 80
14 0 0 0 0
15 6 480 8 560
16 66 551036 387 15608
17 80 581480 408 16576
18 60 709040 499 20280
19 86 839100 593 24168
20 147 1548120 1086 44016
21 95 827125 609 38882
22 70 631927 487 27112
23 189 2194652 1614 115619
24 201 1950337 1443 116601
25 111 1509138 1109 126673
26 85 810277 607 33433
27 37 2157 29 32013
28 199 2442668 1776 71732
29 122 1502193 1057 50115
30 292 1289222 1081 131689
31 261 1516320 1193 118619
32 183 346407 407 166096
33 160 17826 167 112007
34 384 2028485 1662 420138
35 23 1601 25 15014
36 236 3022175 2197 92519
37 188 13728 211 400480
38 274 2033433 1618 298033
39 38 2745 44 54803
40 247 2232645 1720 205498
41 97 1385658 1012 49488
42 100 1501061 1094 52859
43 66 943760 693 28488
44 19 3615 20 2924
45 173 2441608 1774 71712
46 143 1393515 1061 83906
47 36 201698 172 33626
48 52 16292 59 38210
49 300 3170154 2378 198238
50 167 1521062 1168 166136
51 197 1399906 1123 244109
52 224 1521662 1232 264447
53 184 1409882 1109 160321
54 85 193134 204 97549
55 102 85338 140 72439
56 306 3251197 2434 158315
57 111 1502201 1105 51563
58 161 1404753 1075 89733
59 109 1399707 1029 59508
60 132 1519256 1127 62916
61 72 71592 104 32199
62 169 643258 503 63379
63 281 2674001 2007 112236
64 182 1420143 1105 285328
65 160 1517409 1144 81209
66 103 1385815 1017 42053
67 100 1437448 1039 43593
68 35 115651 119 8130
69 157 2111959 1554 63040
70 82 917882 684 29005
71 18 3433 21 2126
72 196 2336773 1713 70773
73 136 1507581 1084 45521
74 98 1388240 1006 41451
75 120 1386432 1002 41421
76 110 1398964 1018 49337
77 144 1082380 875 280186
78 69 5520 72 380232
79 22 4936 28 4659
80 200 2903022 2120 85534
81 145 1394229 1063 141752
82 132 1509722 1131 68453
83 156 1392140 1086 202743
84 202 893277 823 517210
85 81 16062 86 335241
86 184 2115503 1524 64102
87 92 912864 665 27788
88 13 520 13 1714
89 169 2211176 1618 65408
90 90 1319440 960 39232
91 42 497552 372 15584
92 26 5932 28 2689
93 203 2475528 1786 72128
94 146 1476032 1129 365621
95 85 1093093 807 34584
96 20 3271 21 1972
97 179 2113607 1562 67975
98 103 1258531 923 44038
99 131 1390972 1027 57409
100 34 284117 217 10071
101 16 976 19 1704
102 260 3257497 2362 123892
103 106 1502003 1099 45156
104 92 1291883 948 39567
105 12 480 12 1296
106 177 2112771 1543 62536
107 125 1377686 1019 68321
108 117 1508156 1105 65832
109 142 1389545 1054 45161
110 99 1451471 1058 43215
111 116 1245449 935 78016
112 75 7436 65 16108
113 182 1588526 1192 87568
114 180 1900397 1396 137223
115 138 1488456 1100 60042
116 47 73160 91 21673
117 189 1805883 1350 65947
118 111 1567048 1152 46784
119 109 1501128 1093 44552
120 115 1388829 1033 48473
121 97 1385604 1011 41300
122 96 420521 377 92504
123 123 7453 130 237047
124 102 633490 509 49649
125 197 2330198 1729 110185
126 100 1042576 771 40283
127 97 1040937 764 39742
128 88 1039821 746 30447
129 95 979597 719 33465
130 14 580 13 1164
131 37 4524 38 8993
132 247 2674793 1925 77560
133 113 1183300 854 61927
134 96 1209002 880 37878
135 168 11604 206 356531
136 308 1584399 1359 392116
137 234 1923959 1523 318294
138 205 1401426 1130 153635
139 143 1507146 1136 110086
140 139 1388657 1056 195399
141 118 1311696 979 69487
142 171 14949 121 20766
143 224 1956737 1503 147248
144 121 1538136 1142 50887
145 138 1389240 1011 42515
146 128 1501888 1077 43912
147 109 1385992 996 40608
148 40 302400 235 10232
149 22 2502 23 2009
150 368 3015433 2249 294281
151 182 1398848 1103 88278
152 97 1386254 1021 48282
153 93 1274416 932 38120
154 41 8202 45 5018
155 190 2219423 1663 76532
156 198 1528668 1218 179501
157 183 1397859 1111 108885
158 118 1389598 1037 61804
159 98 1500688 1088 44352
160 163 1285819 999 144134
161 81 3875 112 197628
162 94 911245 690 30273
163 42 104728 113 9973
164 153 2210280 1610 64704
165 141 1817415 1328 54499
166 22 926 22 1758
167 168 2161792 1578 63872
168 122 1435856 1056 43008
169 115 1501421 1097 44712
170 91 1385325 1012 41248
171 101 1500909 1100 44871
172 82 1077818 789 32328
173 15 600 15 1432
174 200 2327552 1683 68072
175 112 1386151 997 40738
176 123 1501835 1104 45077
177 97 1385565 1008 41088
178 112 1457251 1065 43457
179 49 3941 57 77611
180 124 1617814 1196 49187
181 113 1748056 1271 51544
182 53 662518 493 20649
183 16 762 17 1442
184 7 616 9 856
185 225 3134270 2287 92318
186 76 893664 661 27323
187 12 480 12 1248
188 267 2560760 1847 74952
189 116 1470944 1073 43752
190 14 599 14 1367
191 157 2111974 1542 62606
192 94 1369024 998 40688
193 93 1385412 1008 41148
194 101 1500808 1092 44512
195 102 1385712 1001 40808
196 93 1308502 961 39401
197 17 719 14 1367
198 163 2015064 1487 60616
199 19 760 18 1552
200 183 2113053 1518 61493
201 101 1287110 942 38494
202 103 1500888 1082 44112
203 115 1386232 1001 40808
204 116 1468512 1047 42743
205 104 1308906 947 38738
206 19 872 19 1755
207 11 776 13 1208
208 213 3183032 2319 93464
209 99 1451462 1062 43326
210 42 399554 306 13150
211 16 932 16 1408
212 173 2027550 1502 62419
213 20 1267 23 2521
214 79 1007272 736 30448
215 204 2142393 1563 64301
216 155 1916804 1398 57931
217 16 640 15 1368
218 71 660839 436 18320
219 205 2706052 2004 80903
220 120 1501630 1100 44832
221 89 1175069 865 35485
222 17 680 13 1352
223 15 1256 20 1744
224 183 2787160 2030 81824
225 27 233208 182 8160
226 15 936 17 1611
227 232 3249584 2364 95264
228 105 1500968 1092 44512
229 100 1290567 933 38127
230 18 720 18 1552
231 15 1176 19 1576
232 215 2673384 1940 78352
233 100 1500884 1095 44632
234 99 1385631 1009 41206
235 96 1500608 1089 44392
236 72 923968 673 27483
237 80 1077632 794 32848
238 14 736 14 1316
239 197 2787800 2030 82016
240 114 1501328 1086 44272
241 95 1385485 1007 41048
242 37 366973 271 11672
243 15 936 17 1624
244 173 2014856 1452 58720
245 15 856 16 1504
246 144 2013776 1474 59584
247 16 816 16 1459
248 169 2211000 1613 65016
249 108 1385991 1008 41127
250 117 1438746 1055 43078
251 13 520 13 1352
252 79 875276 648 26672
253 117 1152498 858 36805
254 28 1871 31 3873
255 281 3137068 2232 90426
256 121 1501725 1077 44029
257 74 874783 629 25979
258 150 1561201 1154 55531
259 44 4205 49 6163
260 128 1011688 759 33232
261 14 927 18 1984
262 225 3134168 2280 91840
263 62 893104 656 27072
264 15 696 14 1456
265 156 2210713 1619 65505
266 96 1484160 1080 44032
267 92 1401760 1016 41459
268 105 1385910 1008 41166
269 115 1501489 1081 44150
270 20 71552 65 3592
271 13 856 16 1520
272 223 3018952 2166 87216
273 101 1397246 1013 41288
274 108 1501205 1093 50760
275 23 136127 112 5287
276 20 34032 40 2544
277 88 974832 724 29651
278 194 2557447 1860 75127
279 111 1501208 1092 44512
280 124 949243 728 55069
281 168 1866709 1381 78862
282 38 232222 188 14859
283 25 10170 31 9646
284 100 1016937 763 42628
285 241 2802557 2029 89645
286 104 1385792 1005 45259
287 120 1511561 1104 45272
288 118 1388182 1020 94297
289 103 1503856 1095 44632
290 50 503410 377 18274
291 14 816 15 1496
292 234 3024820 2208 90034
293 109 1391318 1017 42439
294 122 1390452 1033 63694
295 128 1265370 959 86678
296 116 5381 116 761819
297 161 2210856 1618 65587
298 62 810288 586 24208
299 17 856 17 1576
300 206 2675823 1924 77712
301 138 1357883 1030 364966
302 25 2161 28 4170
303 184 2117645 1558 67965
304 109 1372100 1006 41770
305 121 1501608 1093 44600
306 95 1385432 1005 40968
307 54 680688 501 20859
308 24 1262 24 1792
309 213 2788440 2014 81376
310 95 1385495 1008 41088
311 92 1385312 1003 40888
312 99 1488440 1082 44112
313 15 663 15 1368
314 116 1239846 921 45619
315 129 1666456 1218 49168
316 145 1963112 1428 58208
317 93 1385391 1008 41127
318 100 1500807 1095 44722
319 84 1308064 954 38992
320 13 520 12 1248
321 161 2112209 1556 63098
322 124 1440662 1077 45304
323 106 1451786 1048 42810
324 96 1434816 1029 42023
325 111 1457435 1076 44584
326 25 186664 147 6648
327 22 1342 24 1904
328 223 3020934 2199 88651
329 12 480 12 1248
330 85 1007858 751 30994
331 47 31642 62 14453
332 93 1007832 738 34980
333 140 1683821 1253 56056
334 149 2038772 1487 60279
335 92 1385312 1009 42073
336 67 943843 692 28512
337 20 3336 21 2649
338 195 2442591 1766 71594
339 103 1500888 1082 44112
340 16 85312 70 3568
