0 8 848 13 1064
1 0 0 0 0
2 0 0 0 0
3 0 0 0 0
4 0 0 0 0
5 0 0 0 0
6 1 40 1 136
7 143 1575512 1156 46784
8 9 648 11 1000
9 13 616 14 1429
10 1 40 0 0
11 0 0 0 0
12 0 0 0 0
13 0 0 0 0
14 10 3915 12 2318
15 0 0 0 0
16 0 0 0 0
17 3 280 3 184
18 114 1581664 1155 46568
19 15 696 15 1544
20 8 848 11 808
21 1 40 2 256
22 0 0 0 0
23 0 0 0 0
24 0 0 0 0
25 0 0 0 0
26 1 40 1 136
27 0 0 0 0
28 0 0 0 0
29 0 0 0 0
30 0 0 0 0
31 0 0 0 0
32 0 0 0 0
33 0 0 0 0
34 0 0 0 0
35 4 759 4 283
36 2 160 3 532
37 124 1589904 1165 47160
38 14 736 14 1440
39 7 728 12 1024
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 5 322 5 296
47 6 484 6 240
48 57 21641 66 13168
49 236 40088 239 59477
50 29 6917 31 63897
51 45 24307 55 44592
52 13 520 13 28992
53 11 1452 11 2335
54 61 5488 72 122683
55 76 10331 87 177321
56 1 120 1 40
57 130 1598368 1164 47408
58 21 4619 21 9600
59 16 1242 16 1962
60 6 3108 7 948
61 64 12113 72 153084
62 25 14394 34 47651
63 38 6407 43 54313
64 18 2514 19 8525
65 18 11879 23 3079
66 11 5138 13 13498
67 0 0 0 0
68 0 0 0 0
69 6 4574 8 3111
70 33 15895 38 6678
71 3 120 3 5696
72 58 30846 73 116939
73 1 64 1 64
74 67 36828 81 36050
75 66 34082 82 87930
76 152 1630856 1222 66923
77 28 1744 32 3463
78 0 0 0 0
79 52 51165 80 30597
80 88 35808 101 43596
81 79 38744 93 42555
82 21 8348 22 14090
83 30 8373 36 12779
84 0 0 0 0
85 22 19155 32 18683
86 18 10024 27 12838
87 4 199 4 283
88 2 707 2 491
89 1 40 1 40
90 7 680 8 624
91 138 1613840 1179 48024
92 13 583 15 1136
93 4 256 4 464
94 0 0 0 0
95 6 317 6 271
96 4 400 5 440
97 5 488 7 584
98 0 0 0 0
99 122 1620832 1187 47848
100 21 1013 21 1943
101 4 160 4 160
102 1 40 1 40
103 1 40 1 40
104 0 0 0 0
105 3 280 3 184
106 158 1629808 1191 48232
107 24 1584 28 2544
108 0 0 0 0
109 0 0 0 0
110 3 159 3 159
111 2 80 2 80
112 5 286 5 200
113 4 2646 5 253
114 3 120 3 1252
115 32 2662 32 2662
116 1 40 1 40
117 13 5438 16 1708
118 5 488 7 584
119 0 0 0 0
120 3 166 3 166
121 0 0 0 0
122 4 160 4 160
123 158 1639655 1181 47900
124 12 480 12 1610
125 31 15757 39 3674
126 3 120 3 216
127 0 0 0 0
128 0 0 0 0
129 0 0 0 0
130 1 40 1 40
131 0 0 0 0
132 3 120 3 120
133 4 206 4 206
134 0 0 0 0
135 1 40 1 40
136 1 40 1 40
137 0 0 0 0
138 3 280 3 184
139 6 608 10 880
140 5 292 5 292
141 0 0 0 0
142 5 239 5 239
143 132 1644439 1206 48667
144 20 1543 20 2169
145 2 80 2 256
146 2 80 2 176
147 1 40 1 40
148 0 0 0 0
149 0 0 0 0
150 1 40 1 40
151 7 808 11 808
152 2 80 3 296
153 3 120 3 120
154 1 40 1 40
155 7 9816 12 1262
156 0 0 0 0
157 2 160 2 80
158 133 1652120 1208 48624
159 17 776 18 1856
160 1 40 0 0
161 1 40 1 40
162 0 0 0 0
163 4 160 4 160
164 2 160 2 80
165 149 1660456 1195 48104
166 19 856 19 1992
167 1 40 1 40
168 3 239 3 159
169 8 768 13 1064
170 0 0 0 0
171 2 80 2 133
172 0 0 0 0
173 5 286 5 200
174 2 80 2 80
175 2 126 2 126
176 5 706 5 706
177 12 1827 12 1201
178 31 25018 43 31199
179 40 24314 55 19108
180 169 1690502 1258 76228
181 10 496 11 5481
182 0 0 0 0
183 20 4201 21 1955
184 14 2576 19 2558
185 1 40 2 80
186 2 80 2 176
187 2 166 2 80
188 1 40 1 40
189 0 0 0 0
190 2 111 2 80
191 4 206 4 206
192 0 0 0 0
193 1 40 1 40
194 6 293 6 240
195 7 3267 9 2254
196 5 292 6 363
197 9 1352 10 937
198 155 1679216 1258 56565
199 41 1828 41 213481
200 111 16172 111 21462
201 32 3854 35 80602
202 18 2303 18 4498
203 67 9587 68 123535
204 3 120 3 120
205 47 6651 55 171658
206 17 4521 18 37369
207 0 0 1 40
208 0 0 0 0
209 0 0 0 0
210 0 0 0 0
211 4 222 6 240
212 0 0 0 0
213 5 456 6 480
214 134 1682848 1223 49304
215 13 616 13 1336
216 7 5804 10 1182
217 7 728 12 1024
218 0 0 0 0
219 0 0 0 0
220 1 120 1 40
221 125 1690424 1230 49504
222 13 583 13 1096
223 9 456 9 920
224 2 80 2 133
225 1 40 1 40
226 2 80 2 176
227 0 0 0 0
228 0 0 0 0
229 0 0 0 0
230 0 0 0 0
231 0 0 0 0
232 5 277 6 286
233 131 1698440 1227 49384
234 16 1925 15 1385
235 94 9739 98 254845
236 8 928 6 389
237 4 679 6 519
238 7 648 10 880
239 0 0 0 0
240 0 0 0 0
241 3 151 3 120
242 0 0 0 0
243 0 0 0 0
244 6 2167 7 1062
245 2 80 2 80
246 2 80 2 176
247 0 0 0 0
248 0 0 0 0
249 178 1708624 1232 49952
250 14 599 14 1563
251 9 1016 9 1267
252 0 0 0 0
253 5 263 6 264
